[10/07/2022 13:50:17] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 14:34:16] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 14:44:22] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 14:51:22] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 15:06:59] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 15:16:39] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 15:27:03] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 17:05:25] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 17:08:26] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 17:16:29] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 18:14:22] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 18:21:27] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 18:47:13] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 19:14:26] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 02:05:04] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 02:18:11] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 04:33:15] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 15:33:46] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 15:40:21] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 17:07:09] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 17:11:38] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 19:48:17] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 19:51:59] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 19:53:53] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 20:11:01] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 20:37:03] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 21:45:49] [INFO] received Windows console close event; shutting log-core down
[11/07/2022 21:50:45] [INFO] received Windows console close event; shutting log-core down
[12/07/2022 12:30:28] [INFO] received Windows console close event; shutting log-core down
[12/07/2022 12:35:40] [INFO] received Windows console close event; shutting log-core down
[12/07/2022 12:41:24] [INFO] received Windows console close event; shutting log-core down
[12/07/2022 12:43:39] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 01:29:33] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 01:40:35] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 01:57:55] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 04:24:59] [INFO] received Windows console close event; shutting log-core down
